Time,Image Name,Latitude,Longitude,Altitude,Albedo,Temperature
14:18:38,image_53,"(29.0, 55.0, 24.69331)","(128.0, 56.0, 20.6592)",422254,0.433819795,256.2603928
14:19:08,image_54,"(28.0, 33.0, 27.10321)","(127.0, 29.0, 33.72)",422053,0.356925833,264.6131809
14:19:38,image_55,"(27.0, 10.0, 15.2926)","(126.0, 5.0, 2.1462)",421857,0.494874983,249.1705971
14:20:08,image_56,"(25.0, 45.0, 50.26025)","(124.0, 42.0, 33.0516)",421668,0.538757495,243.6277261
14:20:38,image_57,"(24.0, 20.0, 51.21042)","(123.0, 22.0, 29.89992)",421489,0.543275222,243.0805578
14:21:08,image_58,"(22.0, 54.0, 41.02492)","(122.0, 4.0, 4.01844)",421319,0.503146641,248.3025837
14:21:38,image_59,"(21.0, 28.0, 4.96211)","(120.0, 47.0, 43.7532)",421162,0.497919846,248.999444
14:22:08,image_60,"(20.0, 0.0, 34.19597)","(119.0, 32.0, 51.1278)",421017,0.388632891,261.6106409
14:22:38,image_61,"(18.0, 32.0, 39.49613)","(118.0, 19.0, 40.8432)",420886,0.281224788,272.4555984
14:24:42,image_62,"(12.0, 22.0, 56.6864)","(113.0, 29.0, 42.10368)",420517,0.244045099,276.0335662
14:25:12,image_63,"(10.0, 52.0, 46.88072)","(112.0, 22.0, 20.18676)",420474,0.326756767,268.1656389
14:25:42,image_64,"(9.0, 22.0, 0.18615)","(111.0, 15.0, 29.6136)",420451,0.425789114,257.7150991
14:26:12,image_65,"(7.0, 50.0, 52.45326)","(110.0, 9.0, 13.75236)",420449,0.375218866,263.2115958
14:26:42,image_66,"(6.0, 19.0, 43.21503)","(109.0, 3.0, 38.28024)",420467,0.359889668,264.8057765
14:27:12,image_67,"(4.0, 48.0, 7.8437)","(107.0, 58.0, 17.24124)",420506,0.365876477,264.1721743
14:27:42,image_68,"(3.0, 16.0, 36.7324)","(106.0, 53.0, 24.243)",420567,0.516074755,246.8918061
14:28:12,image_69,"(1.0, 44.0, 59.53513)","(105.0, 48.0, 43.88256)",420650,0.598855476,235.5561643
14:28:42,image_70,"(0.0, 13.0, 17.47361)","(104.0, 44.0, 9.12156)",420754,0.432664257,256.8476597
14:29:12,image_71,"(1.0, 18.0, 12.41571)","(103.0, 39.0, 44.09028)",420879,0.365028797,264.1432897
